sample_id,image_path,Sampling_Date,State,Species,Pre_GSHH_NDVI,Height_Ave_cm,target_name,target,ndvi_norm,height_norm,date_sin,date_cos,date_sin2,date_cos2,state_id,species_id,ndvi_height_interaction,seasonal_ndvi
ID1011485656__Dry_Clover_g,train/ID1011485656.jpg,2015/9/4,Tas,Ryegrass_Clover,0.62,4.6667,Dry_Clover_g,0.0,0.5573770491803278,-0.022748154308999534,-0.8958392907349089,-0.4443781781046134,0.7961828637826157,-0.605056069648849,1,11,-0.01267929912304892,0.029028394385353266
ID1011485656__Dry_Dead_g,train/ID1011485656.jpg,2015/9/4,Tas,Ryegrass_Clover,0.62,4.6667,Dry_Dead_g,31.9984,0.5573770491803278,-0.022748154308999534,-0.8958392907349089,-0.4443781781046134,0.7961828637826157,-0.605056069648849,1,11,-0.01267929912304892,0.029028394385353266
ID1011485656__Dry_Green_g,train/ID1011485656.jpg,2015/9/4,Tas,Ryegrass_Clover,0.62,4.6667,Dry_Green_g,16.2751,0.5573770491803278,-0.022748154308999534,-0.8958392907349089,-0.4443781781046134,0.7961828637826157,-0.605056069648849,1,11,-0.01267929912304892,0.029028394385353266
ID1011485656__Dry_Total_g,train/ID1011485656.jpg,2015/9/4,Tas,Ryegrass_Clover,0.62,4.6667,Dry_Total_g,48.2735,0.5573770491803278,-0.022748154308999534,-0.8958392907349089,-0.4443781781046134,0.7961828637826157,-0.605056069648849,1,11,-0.01267929912304892,0.029028394385353266
ID1011485656__GDM_g,train/ID1011485656.jpg,2015/9/4,Tas,Ryegrass_Clover,0.62,4.6667,GDM_g,16.275,0.5573770491803278,-0.022748154308999534,-0.8958392907349089,-0.4443781781046134,0.7961828637826157,-0.605056069648849,1,11,-0.01267929912304892,0.029028394385353266
ID1012260530__Dry_Clover_g,train/ID1012260530.jpg,2015/4/1,NSW,Lucerne,0.55,16.0,Dry_Clover_g,0.0,0.4426229508196722,1.3895845259074904,0.9999907397361901,0.004303538296244289,0.008606996888688698,-0.9999629591162655,0,3,0.6150620032705286,0.4426209014170257
ID1012260530__Dry_Dead_g,train/ID1012260530.jpg,2015/4/1,NSW,Lucerne,0.55,16.0,Dry_Dead_g,0.0,0.4426229508196722,1.3895845259074904,0.9999907397361901,0.004303538296244289,0.008606996888688698,-0.9999629591162655,0,3,0.6150620032705286,0.4426209014170257
ID1012260530__Dry_Green_g,train/ID1012260530.jpg,2015/4/1,NSW,Lucerne,0.55,16.0,Dry_Green_g,7.6,0.4426229508196722,1.3895845259074904,0.9999907397361901,0.004303538296244289,0.008606996888688698,-0.9999629591162655,0,3,0.6150620032705286,0.4426209014170257
ID1012260530__Dry_Total_g,train/ID1012260530.jpg,2015/4/1,NSW,Lucerne,0.55,16.0,Dry_Total_g,7.6,0.4426229508196722,1.3895845259074904,0.9999907397361901,0.004303538296244289,0.008606996888688698,-0.9999629591162655,0,3,0.6150620032705286,0.4426209014170257
ID1012260530__GDM_g,train/ID1012260530.jpg,2015/4/1,NSW,Lucerne,0.55,16.0,GDM_g,7.6,0.4426229508196722,1.3895845259074904,0.9999907397361901,0.004303538296244289,0.008606996888688698,-0.9999629591162655,0,3,0.6150620032705286,0.4426209014170257
ID1025234388__Dry_Clover_g,train/ID1025234388.jpg,2015/9/1,WA,SubcloverDalkeith,0.38,1.0,Dry_Clover_g,6.05,0.16393442622950816,-1.724214748522421,-0.8717063187093217,-0.4900286664290594,0.8543221697498272,-0.5197438121555152,3,12,-0.2826581554954788,0.010515875515629367
